date,lol,csgo,dota
2012-05-20,48,1,28
2012-05-27,52,1,29
2012-06-03,54,1,30
2012-06-10,53,1,30
2012-06-17,56,1,31
2012-06-24,53,1,31
2012-07-01,55,1,32
2012-07-08,57,1,31
2012-07-15,59,1,33
2012-07-22,62,1,33
2012-07-29,65,1,32
2012-08-05,64,2,31
2012-08-12,65,5,33
2012-08-19,63,8,31
2012-08-26,57,5,31
2012-09-02,53,3,32
2012-09-09,52,3,27
2012-09-16,54,2,27
2012-09-23,53,2,28
2012-09-30,62,2,38
2012-10-07,63,2,29
2012-10-14,69,1,28
2012-10-21,63,2,36
2012-10-28,63,2,33
2012-11-04,60,2,31
2012-11-11,63,2,30
2012-11-18,60,2,29
2012-11-25,57,2,29
2012-12-02,66,2,28
2012-12-09,64,2,31
2012-12-16,66,2,35
2012-12-23,68,2,36
2012-12-30,63,2,34
2013-01-06,60,2,32
2013-01-13,64,2,32
2013-01-20,68,2,33
2013-01-27,68,2,32
2013-02-03,69,2,31
2013-02-10,67,2,31
2013-02-17,63,2,30
2013-02-24,65,2,30
2013-03-03,67,2,30
2013-03-10,62,2,30
2013-03-17,67,2,32
2013-03-24,73,2,33
2013-03-31,75,2,30
2013-04-07,68,2,29
2013-04-14,70,2,29
2013-04-21,68,2,29
2013-04-28,77,2,30
2013-05-05,70,2,30
2013-05-12,69,2,31
2013-05-19,74,2,32
2013-05-26,74,2,34
2013-06-02,73,2,35
2013-06-09,76,2,30
2013-06-16,75,2,31
2013-06-23,77,2,30
2013-06-30,78,2,33
2013-07-07,83,2,38
2013-07-14,81,2,35
2013-07-21,77,3,37
2013-07-28,82,2,39
2013-08-04,77,2,49
2013-08-11,79,3,49
2013-08-18,86,3,37
2013-08-25,82,3,34
2013-09-01,86,3,32
2013-09-08,82,3,31
2013-09-15,91,3,31
2013-09-22,94,3,33
2013-09-29,93,2,32
2013-10-06,87,2,31
2013-10-13,86,3,35
2013-10-20,80,3,33
2013-10-27,87,3,33
2013-11-03,82,3,31
2013-11-10,85,3,36
2013-11-17,84,3,33
2013-11-24,79,4,35
2013-12-01,72,5,30
2013-12-08,75,4,37
2013-12-15,81,4,36
2013-12-22,84,6,36
2013-12-29,84,6,35
2014-01-05,73,6,33
2014-01-12,86,5,31
2014-01-19,84,5,30
2014-01-26,84,5,37
2014-02-02,80,5,34
2014-02-09,85,5,30
2014-02-16,78,5,30
2014-02-23,82,6,28
2014-03-02,81,5,31
2014-03-09,78,6,29
2014-03-16,81,8,31
2014-03-23,77,7,31
2014-03-30,81,7,30
2014-04-06,75,7,30
2014-04-13,82,8,31
2014-04-20,86,8,31
2014-04-27,81,8,33
2014-05-04,86,8,31
2014-05-11,82,8,37
2014-05-18,82,8,35
2014-05-25,78,7,34
2014-06-01,82,7,36
2014-06-08,87,7,35
2014-06-15,81,8,35
2014-06-22,73,8,34
2014-06-29,80,11,36
2014-07-06,77,9,45
2014-07-13,76,10,46
2014-07-20,81,10,51
2014-07-27,93,11,37
2014-08-03,84,12,38
2014-08-10,85,13,36
2014-08-17,82,14,34
2014-08-24,92,13,35
2014-08-31,82,13,34
2014-09-07,86,13,31
2014-09-14,92,12,30
2014-09-21,97,12,37
2014-09-28,90,13,32
2014-10-05,88,12,30
2014-10-12,83,12,28
2014-10-19,85,12,30
2014-10-26,77,12,29
2014-11-02,77,13,29
2014-11-09,80,13,29
2014-11-16,75,12,33
2014-11-23,73,16,29
2014-11-30,66,15,27
2014-12-07,73,16,27
2014-12-14,73,16,31
2014-12-21,79,18,31
2014-12-28,76,21,32
2015-01-04,74,21,31
2015-01-11,84,21,29
2015-01-18,83,21,27
2015-01-25,88,22,30
2015-02-01,82,21,32
2015-02-08,85,21,35
2015-02-15,86,22,32
2015-02-22,86,22,29
2015-03-01,80,21,28
2015-03-08,81,24,26
2015-03-15,78,25,27
2015-03-22,78,24,27
2015-03-29,81,27,28
2015-04-05,76,27,27
2015-04-12,70,26,25
2015-04-19,74,25,24
2015-04-26,75,28,36
2015-05-03,79,26,31
2015-05-10,86,26,29
2015-05-17,74,27,28
2015-05-24,77,30,29
2015-05-31,75,28,30
2015-06-07,76,27,27
2015-06-14,78,28,31
2015-06-21,83,27,28
2015-06-28,81,27,26
2015-07-05,82,26,26
2015-07-12,78,26,26
2015-07-19,84,26,28
2015-07-26,78,26,36
2015-08-02,79,26,49
2015-08-09,77,26,37
2015-08-16,83,30,29
2015-08-23,80,30,27
2015-08-30,78,26,28
2015-09-06,77,27,29
2015-09-13,82,31,25
2015-09-20,72,29,27
2015-09-27,100,28,25
2015-10-04,100,26,25
2015-10-11,100,26,25
2015-10-18,81,25,23
2015-10-25,88,28,24
2015-11-01,79,26,22
2015-11-08,89,25,22
2015-11-15,74,23,27
2015-11-22,76,27,22
2015-11-29,68,26,22
2015-12-06,74,33,22
2015-12-13,71,26,31
2015-12-20,73,27,25
2015-12-27,78,27,24
2016-01-03,73,26,23
2016-01-10,82,24,22
2016-01-17,87,25,22
2016-01-24,85,24,24
2016-01-31,84,24,22
2016-02-07,83,23,21
2016-02-14,73,28,21
2016-02-21,76,25,24
2016-02-28,77,25,25
2016-03-06,78,22,22
2016-03-13,75,22,20
2016-03-20,86,23,24
2016-03-27,81,29,21
2016-04-03,80,25,19
2016-04-10,77,23,19
2016-04-17,83,23,22
2016-04-24,73,24,27
2016-05-01,85,22,22
2016-05-08,77,21,22
2016-05-15,82,22,25
2016-05-22,74,22,22
2016-05-29,80,22,24
2016-06-05,77,21,26
2016-06-12,77,22,24
2016-06-19,76,22,24
2016-06-26,78,22,23
2016-07-03,76,26,21
2016-07-10,78,23,20
2016-07-17,73,20,19
2016-07-24,78,19,22
2016-07-31,77,19,28
2016-08-07,76,17,37
2016-08-14,74,19,27
2016-08-21,77,19,24
2016-08-28,74,18,22
2016-09-04,75,18,19
2016-09-11,76,18,19
2016-09-18,73,17,17
2016-09-25,85,18,18
2016-10-02,91,18,19
2016-10-09,87,20,20
2016-10-16,84,17,19
2016-10-23,78,18,20
2016-10-30,82,19,20
2016-11-06,79,17,17
2016-11-13,73,17,17
2016-11-20,70,18,17
2016-11-27,66,21,18
2016-12-04,71,20,21
2016-12-11,74,19,40
2016-12-18,67,19,21
2016-12-25,68,21,19
2017-01-01,66,24,18
2017-01-08,69,20,18
2017-01-15,71,21,17
2017-01-22,72,26,20
2017-01-29,71,25,19
2017-02-05,69,21,19
2017-02-12,67,21,17
2017-02-19,67,22,16
2017-02-26,62,21,17
2017-03-05,63,19,16
2017-03-12,60,21,18
2017-03-19,61,20,17
2017-03-26,56,19,18
2017-04-02,58,18,17
2017-04-09,57,20,17
2017-04-16,60,19,16
2017-04-23,58,18,21
2017-04-30,63,19,22
2017-05-07,58,17,19
2017-05-14,71,21,22
