"id2","kbps"
"cc","721"
"km","801"
"fm","914"
"io","930"
"td","951"
"cf","989"
"ml","1029"
"er","1070"
"ne","1078"
"gs","1096"
"bf","1133"
"ki","1190"
"cd","1204"
"ye","1268"
"nf","1282"
"py","1426"
"gq","1430"
"mw","1447"
"tg","1482"
"sz","1571"
"vu","1589"
"sb","1596"
"bj","1641"
"fk","1682"
"as","1747"
"mh","1778"
"af","1797"
"gw","1869"
"tl","1883"
"ga","1913"
"ve","1937"
"mr","1949"
"nr","1951"
"sn","2006"
"cm","2047"
"ws","2050"
"gn","2052"
"gm","2065"
"dj","2077"
"eg","2172"
"bw","2208"
"bz","2254"
"bi","2269"
"lb","2271"
"sy","2273"
"cu","2297"
"dz","2301"
"zm","2325"
"ag","2329"
"to","2338"
"so","2403"
"ly","2404"
"pk","2436"
"st","2476"
"cx","2486"
"ug","2515"
"tm","2623"
"bo","2630"
"ht","2655"
"nu","2663"
"cg","2689"
"mz","2690"
"sd","2716"
"sr","2751"
"lc","2757"
"pw","2827"
"sv","2833"
"kp","2886"
"ao","2891"
"tv","2945"
"ni","2970"
"ck","2999"
"gt","3017"
"na","3038"
"pf","3092"
"ci","3184"
"hn","3223"
"np","3233"
"gy","3241"
"tz","3317"
"sc","3323"
"mg","3328"
"sl","3357"
"gh","3359"
"mp","3365"
"yt","3367"
"bt","3407"
"tj","3469"
"ms","3589"
"ss","3599"
"kg","3600"
"la","3666"
"sx","3733"
"vc","3817"
"cr","3879"
"cv","3971"
"vg","4009"
"et","4014"
"dm","4027"
"do","4096"
"lr","4104"
"ng","4129"
"ir","4135"
"zw","4137"
"mv","4159"
"mm","4190"
"iq","4191"
"bd","4232"
"tn","4475"
"ph","4527"
"kn","4658"
"gf","4664"
"om","4688"
"gp","4690"
"re","4883"
"mf","4948"
"bq","5022"
"gl","5120"
"kh","5156"
"ma","5191"
"gd","5206"
"jo","5381"
"co","5397"
"az","5409"
"tc","5437"
"nc","5541"
"pe","5558"
"in","5567"
"pa","5672"
"am","5738"
"ps","5796"
"bb","5823"
"uz","6039"
"ar","6143"
"me","6279"
"cn","6295"
"sa","6321"
"ec","6336"
"mq","6338"
"br","6391"
"bm","6429"
"mu","6432"
"ai","6474"
"sm","6500"
"bn","6523"
"jm","6575"
"za","6595"
"id","6748"
"mn","6786"
"tk","6944"
"al","6965"
"fj","7054"
"cy","7114"
"ky","7121"
"mx","7213"
"lk","7307"
"gr","7493"
"tr","7551"
"mk","7775"
"bs","7936"
"cw","7937"
"eu","7995"
"hr","8183"
"my","8200"
"ge","8242"
"vn","8250"
"ba","8309"
"rw","8324"
"uy","8345"
"pg","8430"
"gu","8489"
"cl","8567"
"bh","8594"
"it","8669"
"aq","8733"
"kz","8955"
"kw","9026"
"by","9293"
"ls","9368"
"aw","9559"
"tt","9589"
"fr","10015"
"vi","10074"
"au","10098"
"bl","10156"
"rs","10523"
"ae","10684"
"pr","10841"
"im","11002"
"lu","11059"
"md","11076"
"ee","11438"
"ru","11607"
"pm","11711"
"fo","11821"
"qa","11895"
"gi","12205"
"gg","12232"
"pl","12350"
"ua","12439"
"li","12459"
"pt","12576"
"ad","12755"
"mo","12776"
"nz","12865"
"mt","12926"
"sk","13018"
"th","13349"
"at","13912"
"si","13976"
"hu","14300"
"il","14389"
"lt","14565"
"de","14588"
"ca","14855"
"wf","14932"
"ke","14958"
"ie","15285"
"es","15362"
"bg","15565"
"tw","15640"
"be","15930"
"ro","16123"
"gb","16337"
"mc","16921"
"lv","17189"
"us","17235"
"cz","17252"
"je","17406"
"is","17443"
"nl","17589"
"jp","19574"
"sg","20174"
"fi","20587"
"dk","20707"
"ch","21238"
"hk","21943"
"va","21958"
"se","22846"
"no","23633"
"kr","26116"
"sj","30368"
