NAME, Value
Delaware,75
Virginia,74
District of Columbia,68
Massachusetts,66
Rhode Island,65
North Dakota,62
New York,60
Utah,60
New Jersey,59
California,58
Connecticut,58
Maryland,58
Washington,58
Michigan,56
Pennsylvania,56
Oregon,54
South Dakota,54
New Hampshire,53
Wisconsin,53
Florida,52
Georgia,51
Indiana,51
Illinois,50
Minnesota,50
Missouri,49
Nevada,49
Tennessee,49
Texas,49
Alaska,48
Colorado,48
Vermont,48
Arizona,46
Nebraska,46
North Carolina,45
South Carolina,45
Wyoming,45
Alabama,44
Hawaii,43
Kansas,43
Montana,43
Ohio,43
Oklahoma,43
Iowa,42
West Virginia,42
Maine,40
Louisiana,39
Idaho,37
Mississippi,37
New Mexico,36
Arkansas,35
Kentucky,34
