Quarter	Android	iOS	Windows	BlackBerry	Symbian	Other
2016 09	87	13	0	0	0	0
2016 06	88	12	0	0	0	0
2016 03	83	15	1	0	0	0
2015 12	80	19	1	0	0	1
2015 09	80	19	1	0	0	1
2015 06	83	14	3	0	0	0
2015 03	78	18	3	0	0	1
2014 12	77	20	3	0	0	0
2014 09	84	12	3	1	0	1
2014 06	85	12	2	1	0	1
2014 03	81	15	3	1	0	1
2013 12	78	18	3	1	0	1
2013 09	81	13	4	2	0	1
2013 06	79	13	4	3	0	1
2013 03	75	17	3	3	1	1
2012 12	70	21	3	3	1	2
2012 09	75	15	2	4	2	2
2012 06	68	17	4	5	4	2
2012 03	59	23	2	6	7	3
2011 12	53	23	2	8	12	3
2011 09	57	14	1	10	15	3
2011 06	47	19	2	12	17	4
2011 03	36	18	3	14	26	3
