SUMLEV,REGION,DIVISION,STATE,NAME,NPOPCHG_2011,INTERNET
10,0,0,0,United States,2261698,NaN
20,1,0,0,Northeast Region,155490,NaN
20,2,0,0,Midwest Region,182377,NaN
20,3,0,0,South Region,1189207,NaN
20,4,0,0,West Region,734624,NaN
40,3,6,1,Alabama,17339,44
40,4,9,2,Alaska,8572,48
40,4,8,4,Arizona,69347,46
40,3,7,5,Arkansas,16391,35
40,4,9,6,California,353714,58
40,4,8,8,Colorado,69104,48
40,1,1,9,Connecticut,5211,58
40,3,5,10,Delaware,7343,75
40,3,5,11,District of Columbia,13084,68
40,3,5,12,Florida,218929,52
40,3,5,13,Georgia,103053,51
40,4,9,15,Hawaii,11451,43
40,4,8,16,Idaho,13883,37
40,2,3,17,Illinois,27277,50
40,2,3,18,Indiana,26300,51
40,2,4,19,Iowa,12107,42
40,2,4,20,Kansas,12095,43
40,3,6,21,Kentucky,22133,34
40,3,7,22,Louisiana,29493,39
40,1,1,23,Maine,809,40
40,3,5,24,Maryland,42608,58
40,1,1,25,Massachusetts,32070,66
40,2,3,26,Michigan,-956,56
40,2,4,27,Minnesota,34203,50
40,3,6,28,Mississippi,8440,37
40,2,4,29,Missouri,14973,49
40,4,8,30,Montana,7241,43
40,2,4,31,Nebraska,12500,46
40,4,8,32,Nevada,19039,49
40,1,1,33,New Hampshire,1387,53
40,1,2,34,New Jersey,21562,59
40,4,8,35,New Mexico,16311,36
40,1,2,36,New York,69991,60
40,3,5,37,North Carolina,96167,45
40,2,4,38,North Dakota,9303,62
40,2,3,39,Ohio,6983,43
40,3,7,40,Oklahoma,31324,43
40,4,9,41,Oregon,33527,54
40,1,2,42,Pennsylvania,25164,56
40,1,1,44,Rhode Island,-1226,65
40,3,5,45,South Carolina,42124,45
40,2,4,46,South Dakota,7484,54
40,3,6,47,Tennessee,45917,49
40,3,7,48,Texas,421215,49
40,4,8,49,Utah,41743,60
40,1,1,50,Vermont,522,48
40,3,5,51,Virginia,72651,74
40,4,9,53,Washington,87088,58
40,3,5,54,West Virginia,996,42
40,2,3,55,Wisconsin,20108,53
40,4,8,56,Wyoming,3604,45
40,X,X,72,Puerto Rico Commonwealth,-15288,NaN
