date,value
2012-05-20,8
2012-05-27,8
2012-06-03,8
2012-06-10,9
2012-06-17,8
2012-06-24,8
2012-07-01,8
2012-07-08,7
2012-07-15,7
2012-07-22,7
2012-07-29,6
2012-08-05,7
2012-08-12,8
2012-08-19,8
2012-08-26,8
2012-09-02,9
2012-09-09,9
2012-09-16,9
2012-09-23,9
2012-09-30,10
2012-10-07,9
2012-10-14,8
2012-10-21,8
2012-10-28,8
2012-11-04,8
2012-11-11,8
2012-11-18,9
2012-11-25,8
2012-12-02,7
2012-12-09,8
2012-12-16,8
2012-12-23,8
2012-12-30,7
2013-01-06,9
2013-01-13,8
2013-01-20,8
2013-01-27,9
2013-02-03,13
2013-02-10,14
2013-02-17,13
2013-02-24,16
2013-03-03,12
2013-03-10,11
2013-03-17,13
2013-03-24,13
2013-03-31,20
2013-04-07,18
2013-04-14,19
2013-04-21,16
2013-04-28,15
2013-05-05,15
2013-05-12,13
2013-05-19,21
2013-05-26,16
2013-06-02,11
2013-06-09,22
2013-06-16,24
2013-06-23,19
2013-06-30,22
2013-07-07,23
2013-07-14,29
2013-07-21,24
2013-07-28,25
2013-08-04,20
2013-08-11,35
2013-08-18,26
2013-08-25,27
2013-09-01,24
2013-09-08,18
2013-09-15,88
2013-09-22,89
2013-09-29,47
2013-10-06,14
2013-10-13,13
2013-10-20,13
2013-10-27,12
2013-11-03,12
2013-11-10,12
2013-11-17,13
2013-11-24,14
2013-12-01,12
2013-12-08,17
2013-12-15,22
2013-12-22,19
2013-12-29,15
2014-01-05,17
2014-01-12,52
2014-01-19,36
2014-01-26,37
2014-02-02,34
2014-02-09,33
2014-02-16,34
2014-02-23,33
2014-03-02,37
2014-03-09,28
2014-03-16,26
2014-03-23,29
2014-03-30,41
2014-04-06,28
2014-04-13,39
2014-04-20,30
2014-04-27,24
2014-05-04,43
2014-05-11,27
2014-05-18,44
2014-05-25,37
2014-06-01,33
2014-06-08,32
2014-06-15,33
2014-06-22,25
2014-06-29,33
2014-07-06,32
2014-07-13,31
2014-07-20,32
2014-07-27,41
2014-08-03,33
2014-08-10,31
2014-08-17,33
2014-08-24,43
2014-08-31,39
2014-09-07,35
2014-09-14,71
2014-09-21,93
2014-09-28,82
2014-10-05,65
2014-10-12,47
2014-10-19,40
2014-10-26,15
2014-11-02,15
2014-11-09,16
2014-11-16,18
2014-11-23,18
2014-11-30,18
2014-12-07,19
2014-12-14,19
2014-12-21,15
2014-12-28,14
2015-01-04,18
2015-01-11,22
2015-01-18,42
2015-01-25,45
2015-02-01,43
2015-02-08,41
2015-02-15,41
2015-02-22,38
2015-03-01,36
2015-03-08,33
2015-03-15,33
2015-03-22,38
2015-03-29,37
2015-04-05,38
2015-04-12,36
2015-04-19,36
2015-04-26,29
2015-05-03,49
2015-05-10,34
2015-05-17,23
2015-05-24,36
2015-05-31,39
2015-06-07,39
2015-06-14,37
2015-06-21,37
2015-06-28,41
2015-07-05,39
2015-07-12,40
2015-07-19,41
2015-07-26,35
2015-08-02,36
2015-08-09,45
2015-08-16,42
2015-08-23,43
2015-08-30,38
2015-09-06,26
2015-09-13,25
2015-09-20,27
2015-09-27,95
2015-10-04,100
2015-10-11,85
2015-10-18,58
2015-10-25,60
2015-11-01,29
2015-11-08,22
2015-11-15,23
2015-11-22,26
2015-11-29,24
2015-12-06,31
2015-12-13,25
2015-12-20,16
2015-12-27,16
2016-01-03,23
2016-01-10,44
2016-01-17,45
2016-01-24,39
2016-01-31,38
2016-02-07,35
2016-02-14,37
2016-02-21,37
2016-02-28,37
2016-03-06,31
2016-03-13,35
2016-03-20,34
2016-03-27,34
2016-04-03,36
2016-04-10,39
2016-04-17,39
2016-04-24,24
2016-05-01,42
2016-05-08,39
2016-05-15,31
2016-05-22,27
2016-05-29,38
2016-06-05,40
2016-06-12,37
2016-06-19,34
2016-06-26,31
2016-07-03,33
2016-07-10,28
2016-07-17,28
2016-07-24,29
2016-07-31,29
2016-08-07,28
2016-08-14,32
2016-08-21,34
2016-08-28,36
2016-09-04,33
2016-09-11,26
2016-09-18,23
2016-09-25,73
2016-10-02,88
2016-10-09,71
2016-10-16,56
2016-10-23,43
2016-10-30,38
2016-11-06,22
2016-11-13,23
2016-11-20,23
2016-11-27,26
2016-12-04,29
2016-12-11,25
2016-12-18,20
2016-12-25,17
2017-01-01,21
2017-01-08,24
2017-01-15,37
2017-01-22,43
2017-01-29,38
2017-02-05,37
2017-02-12,37
2017-02-19,33
2017-02-26,30
2017-03-05,33
2017-03-12,32
2017-03-19,32
2017-03-26,32
2017-04-02,30
2017-04-09,32
2017-04-16,31
2017-04-23,40
2017-04-30,40
2017-05-07,44
2017-05-14,61
